oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
SE000004,Sweden,"0.95"" OLED PMOD",arturo182,Other,CERN,No software,CC BY-SA,2020-05-04T00:00-04:00,17,3,3,https://certification.oshwa.org/se000004.html
DE000104,Germany,0xCB,Conor Burns,Electronics,CERN,GPL,CC BY,2021-03-24T00:00-04:00,59,9,1,https://certification.oshwa.org/de000104.html
DE000108,Germany,0xCB,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-04-16T00:00-04:00,59,9,1,https://certification.oshwa.org/de000108.html
DE000112,Germany,0xCB 1337,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/de000112.html
DE000121,Germany,0xCB 1337,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-09T00:00-05:00,59,9,1,https://certification.oshwa.org/de000121.html
DE000113,Germany,0xCB 1337,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-05-27T00:00-04:00,59,9,1,https://certification.oshwa.org/de000113.html
DE000136,Germany,0xCB 1337,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,2023-05-25T00:00-04:00,59,9,1,https://certification.oshwa.org/de000136.html
DE000147,Germany,0xCB Gemini,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2024-09-13T00:00-04:00,11,1,0,https://certification.oshwa.org/de000147.html
DE000131,Germany,0xCB Helios,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2023-01-11T00:00-05:00,110,6,1,https://certification.oshwa.org/de000131.html
DE000115,Germany,0xCB micro,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-06-30T00:00-04:00,5,1,1,https://certification.oshwa.org/de000115.html
DE000122,Germany,0xCB Pluto,Conor Burns,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2022-01-28T00:00-05:00,60,4,0,https://certification.oshwa.org/de000122.html
DE000114,Germany,0xCB Static,Conor Burns,Electronics,CERN,GPL,CC BY-SA,2021-06-17T00:00-04:00,66,13,2,https://certification.oshwa.org/de000114.html
HR000033,Croatia,1-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000033.html
HR000031,Croatia,1-channel relay board with easyC,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000031.html
US000583,United States of America,12mm Coin Cell Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000583.html
US000582,United States of America,12mm Coin Cell Breakout w/ On-Off Switch,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000582.html
BE000012,Belgium,16Ch PWM Power,PHYX,IOT,Other,No software,Other,2023-09-18T00:00-04:00,0,0,2,https://certification.oshwa.org/be000012.html
HR000107,Croatia,1S Li-Ion battery protection,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,4,0,1,https://certification.oshwa.org/hr000107.html
HR000032,Croatia,2-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,2,0,0,https://certification.oshwa.org/hr000032.html
US002444,United States of America,"2.2"" 18-bit color TFT LCD display with microSD card breakout","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,3,6,https://certification.oshwa.org/us002444.html
US000584,United States of America,20mm Coin Cell Breakout Board (CR2032),"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000584.html
US000585,United States of America,20mm Coin Cell Breakout w/On-Off Switch (CR2032),"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000585.html
US000625,United States of America,20x2 Character Display w/ HPDL1414 Module & ESP32,SQFMI,IOT,Other,MIT,CC BY-SA,2020-05-23T00:00-04:00,7,2,3,https://certification.oshwa.org/us000625.html
LK000015,Sri Lanka,24-Channel USB high voltage driver,Dilshan R Jayakody,Electronics,CERN-OHL-1.2,MIT,CC BY,2025-05-09T00:00-04:00,5,0,1,https://certification.oshwa.org/lk000015.html
HR000056,Croatia,3.5mm Jack breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000056.html
UK000034,United Kingdom,3340 Breakout,Archie Campbell,Sound,TAPR,No software,CC BY-SA,2021-10-14T00:00-04:00,7,0,1,https://certification.oshwa.org/uk000034.html
CZ000006,Czech Republic,3D printed Wind-Tunnel for Fire Engineering Applications,"Výzkumný ústav bezpečnosti práce, v. v. i.",Science,Other,GPL,CC BY-SA,2021-12-22T00:00-05:00,4,1,1,https://certification.oshwa.org/cz000006.html
IN000056,India,3rd Eye,Paarth Bansal,Electronics,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,2024-08-15T00:00-04:00,1,0,1,https://certification.oshwa.org/in000056.html
LK000005,Sri Lanka,4 Port High Power USB Hub,Dilshan R Jayakody,Electronics,Other,MIT,CC BY,2019-10-31T00:00-04:00,189,15,5,https://certification.oshwa.org/lk000005.html
US000575,United States of America,4-channel I2C-safe Bi-directional Logic Level Converter,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,13,13,https://certification.oshwa.org/us000575.html
HR000106,Croatia,4-channel relay board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,3,1,1,https://certification.oshwa.org/hr000106.html
US000554,United States of America,40-pin TFT Friend - FPC Breakout with LED Backlight Driver,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-08T00:00-04:00,12,3,10,https://certification.oshwa.org/us000554.html
FI000001,Finland,4chord MIDI Piano,Sven Gregori,Sound,CERN,GPL,CC BY,2020-06-19T00:00-04:00,36,1,4,https://certification.oshwa.org/fi000001.html
LK000010,Sri Lanka,5.1 Channel Audio Preamplifier,Dilshan R Jayakody,Sound,CERN-OHL-W-2.0,MIT,CC BY,2021-11-03T00:00-04:00,12,2,1,https://certification.oshwa.org/lk000010.html
US000596,United States of America,5050 LED breakout PCB - 10 pack!,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,69,31,17,https://certification.oshwa.org/us000596.html
LK000013,Sri Lanka,6-Channel Stereo Speaker Selector,Dilshan R Jayakody,Sound,CERN-OHL-W-2.0,MIT,CC-BY-4.0,2023-01-11T00:00-05:00,7,2,1,https://certification.oshwa.org/lk000013.html
CA000036,Canada,6502 Single Board Computer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2023-12-11T00:00-05:00,332,70,43,https://certification.oshwa.org/ca000036.html
CA000042,Canada,6502/65C02/6800/6809/Z80 Logic Analyzer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2024-01-18T00:00-05:00,332,70,43,https://certification.oshwa.org/ca000042.html
CA000039,Canada,6800 Single Board Computer,Jeff Tranter,Electronics,TAPR,Apache,CC BY,2023-12-21T00:00-05:00,29,12,5,https://certification.oshwa.org/ca000039.html
CA000037,Canada,6809 Single Board Computer,Jeff,Electronics,TAPR,Apache,CC BY,2023-12-19T00:00-05:00,47,18,12,https://certification.oshwa.org/ca000037.html
US000574,United States of America,8-channel Bi-directional Logic Level Converter,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,4,9,https://certification.oshwa.org/us000574.html
DE000098,Germany,8ch-level-shifter,Thore Krug,Electronics,Other,No software,Other,2020-11-23T00:00-05:00,15,4,9,https://certification.oshwa.org/de000098.html
HR000070,Croatia,8x8 LED matrix Blue MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000070.html
HR000066,Croatia,8x8 LED matrix Green MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000066.html
HR000069,Croatia,8x8 LED matrix Orange MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000069.html
HR000067,Croatia,8x8 LED matrix Purple MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000067.html
HR000068,Croatia,8x8 LED matrix White MAX7219 board,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000068.html
ES000021,Spain,A parametric open source hardware geological simulator,Universidad Rey Juan Carlos,Science,CERN,LGPL,CC BY,2021-06-07T00:00-04:00,3,4,0,https://certification.oshwa.org/es000021.html
US000262,United States of America,A two channel MOSFET shield with trimpots for controlling valves and solenoids.,SparkFun Electronics,Science,CERN,MIT,CC BY-SA,2020-04-08T00:00-04:00,1,0,1,https://certification.oshwa.org/us000262.html
US002705,United States of America,Absolute Encoder Board,Flywheel Lab,Electronics,CERN-OHL-P-2.0,MIT,CC-BY-4.0,2024-12-13T00:00-05:00,0,0,1,https://certification.oshwa.org/us002705.html
US002672,United States of America,AC Infinity ESP32 Custom PCB,Luis Rodriguez,IOT,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,2024-08-29T00:00-04:00,5,0,3,https://certification.oshwa.org/us002672.html
US000173,United States of America,Acrylic Case for GreatFET One,Great Scott Gadgets,Enclosure,Other,No software,Other,2019-10-31T00:00-04:00,91,19,6,https://certification.oshwa.org/us000173.html
US002052,United States of America,Acrylic Case for HackRF One,GREAT SCOTT GADGETS,Enclosure,Other,No software,Other,2021-09-09T00:00-04:00,7699,1664,550,https://certification.oshwa.org/us002052.html
US002441,United States of America,Adafruit 10-DOF IMU Breakout - L3GD20H + LSM303 + BMP180,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-05T00:00-04:00,6,4,10,https://certification.oshwa.org/us002441.html
US002596,United States of America,Adafruit 12V Bias Voltage Boost Converter - TPS61040,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2024-01-18T00:00-05:00,2,2,9,https://certification.oshwa.org/us002596.html
US002474,United States of America,Adafruit 16-Channel 12-bit PWM/Servo Shield - I2C interface,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,12,3,5,https://certification.oshwa.org/us002474.html
US002482,United States of America,Adafruit 16-Channel PWM / Servo Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,15,4,10,https://certification.oshwa.org/us002482.html
US002452,United States of America,Adafruit 16x8 LED Matrix Backpack,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,29,10,3,https://certification.oshwa.org/us002452.html
US002476,United States of America,"Adafruit 2.23"" Monochrome OLED Bonnet for Raspberry Pi","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,1,0,10,https://certification.oshwa.org/us002476.html
US002043,United States of America,Adafruit 24LC32 I2C EEPROM Breakout - 32Kbit / 4 KB - Stemma QT,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,10,https://certification.oshwa.org/us002043.html
US002458,United States of America,Adafruit 9-DOF Accel/Mag/Gyro+Temp Breakout Board - LSM9DS0,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,10,https://certification.oshwa.org/us002458.html
US002463,United States of America,Adafruit 9-DOF IMU Breakout - L3GD20H + LSM303,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,6,4,10,https://certification.oshwa.org/us002463.html
US002523,United States of America,Adafruit AHT20 - Temperature & Humidity Sensor Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,2,3,10,https://certification.oshwa.org/us002523.html
US000456,United States of America,Adafruit ALS-PT19 Analog Light Sensor Breakout,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,8,2,5,https://certification.oshwa.org/us000456.html
US002480,United States of America,Adafruit Animated Eyes Bonnet for Raspberry Pi Mini Kit,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,8,3,7,https://certification.oshwa.org/us002480.html
US002483,United States of America,Adafruit Arcade Bonnet for Raspberry Pi with JST Connectors,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,3,1,9,https://certification.oshwa.org/us002483.html
US002445,United States of America,Adafruit Bluefruit LE Micro - Bluetooth Low Energy + ATmega32u4,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,1,7,https://certification.oshwa.org/us002445.html
US002461,United States of America,Adafruit BMP183 SPI Barometric Pressure & Altitude Sensor,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,0,5,https://certification.oshwa.org/us002461.html
US002466,United States of America,Adafruit BrainCraft HAT - Machine Learning for Raspberry Pi 4,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,0,11,https://certification.oshwa.org/us002466.html
US002467,United States of America,Adafruit CharliePlex LED Matrix Bonnet - 8x16 Blue LEDs,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,0,8,https://certification.oshwa.org/us002467.html
US002067,United States of America,Adafruit CP2102N Friend,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,9,2,10,https://certification.oshwa.org/us002067.html
US000472,United States of America,Adafruit CP2104 Friend - USB to Serial Converter,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,11,7,7,https://certification.oshwa.org/us000472.html
US002477,United States of America,Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,2,10,https://certification.oshwa.org/us002477.html
US002468,United States of America,Adafruit DC & Stepper Motor Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,14,8,6,https://certification.oshwa.org/us002468.html
US002520,United States of America,Adafruit DC & Stepper Motor HAT for Raspberry Pi - Mini Kit,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,14,8,6,https://certification.oshwa.org/us002520.html
US002470,United States of America,Adafruit DotStar High Density 8x8 Grid - 64 RGB LED Pixel Matrix,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,10,0,7,https://certification.oshwa.org/us002470.html
US002516,United States of America,Adafruit DPI TFT Kippah for Raspberry Pi with Touch Support,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,12,7,5,https://certification.oshwa.org/us002516.html
US000550,United States of America,Adafruit DragonTail for micro:bit,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-08T00:00-04:00,2,0,8,https://certification.oshwa.org/us000550.html
US002048,United States of America,Adafruit DVI Breakout Board - For HDMI Source Devices,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,69,31,17,https://certification.oshwa.org/us002048.html
US002109,United States of America,Adafruit ESP32 Feather V2 - 8MB Flash + 2 MB PSRAM,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,23,2,10,https://certification.oshwa.org/us002109.html
US002110,United States of America,Adafruit ESP32 Feather V2 w.FL Antenna - 8MB Flash + 2 MB PSRAM,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,23,2,10,https://certification.oshwa.org/us002110.html
US002061,United States of America,Adafruit ESP32-S2 Feather - 2 MB PSRAM and STEMMA QT / Qwiic,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-12-03T00:00-05:00,11,2,11,https://certification.oshwa.org/us002061.html
US002168,United States of America,Adafruit ESP32-S2 Reverse TFT Feather,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-02-24T00:00-05:00,4,0,10,https://certification.oshwa.org/us002168.html
US002066,United States of America,Adafruit ESP32-S2 TFT Feather,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,11,1,10,https://certification.oshwa.org/us002066.html
US002502,United States of America,Adafruit ESP32-S3 Reverse TFT Feather,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,8,0,10,https://certification.oshwa.org/us002502.html
US002121,United States of America,Adafruit ESP32-S3 TFT Feather,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-07-07T00:00-04:00,15,3,11,https://certification.oshwa.org/us002121.html
US002144,United States of America,Adafruit EYESPI Breakout Board - 18 Pin FPC Connector,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-12-14T00:00-05:00,3,0,10,https://certification.oshwa.org/us002144.html
US002471,United States of America,Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,21,11,6,https://certification.oshwa.org/us002471.html
US002498,United States of America,Adafruit Feather nRF52 Pro with myNewt Bootloader,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,80,32,16,https://certification.oshwa.org/us002498.html
US002673,United States of America,Adafruit FPC Breakout for Raspberry Pi 5 DSI or RP2350 HSTX - 22 Pin 0.5mm,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2024-08-29T00:00-04:00,1,0,9,https://certification.oshwa.org/us002673.html
US002592,United States of America,Adafruit Grove and Stemma QT FeatherWing for all Feathers,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-12-21T00:00-05:00,1,0,9,https://certification.oshwa.org/us002592.html
US002464,United States of America,Adafruit HDC1008 Temperature & Humidity Sensor Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,0,5,https://certification.oshwa.org/us002464.html
US002042,United States of America,Adafruit HTU31 Temperature & Humidity Sensor Breakout Board,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-08-19T00:00-04:00,1,0,2,https://certification.oshwa.org/us002042.html
US002460,United States of America,Adafruit HUZZAH CC3000 WiFi Breakout with Onboard Antenna,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,9,5,12,https://certification.oshwa.org/us002460.html
US002465,United States of America,Adafruit HUZZAH CC3000 WiFi Shield with Onboard Antenna,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,2,9,https://certification.oshwa.org/us002465.html
US002499,United States of America,Adafruit I2C Stemma QT Rotary Encoder Breakout with NeoPixel,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,7,2,11,https://certification.oshwa.org/us002499.html
US002484,United States of America,Adafruit I2S 3W Stereo Speaker Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,6,4,8,https://certification.oshwa.org/us002484.html
US002454,United States of America,Adafruit I2S Audio Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,8,2,8,https://certification.oshwa.org/us002454.html
US002503,United States of America,Adafruit ISM330DHCX + LIS3MDL FeatherWing,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,1,10,https://certification.oshwa.org/us002503.html
US002430,United States of America,Adafruit ItsyBitsy 32u4 - 3V 8MHz,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-08-22T00:00-04:00,10,0,9,https://certification.oshwa.org/us002430.html
US002508,United States of America,Adafruit Joy Bonnet for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,11,3,11,https://certification.oshwa.org/us002508.html
US002062,United States of America,Adafruit KB2040 - RP2040 Kee Boar Driver,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-12-03T00:00-05:00,29,8,10,https://certification.oshwa.org/us002062.html
US002495,United States of America,Adafruit LIS3DH Triple-Axis Accelerometer (+-2g/4g/8g/16g),"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,10,5,6,https://certification.oshwa.org/us002495.html
US002573,United States of America,Adafruit LM66200 Ideal Dual Diodes Breakout,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-11-09T00:00-05:00,2,0,9,https://certification.oshwa.org/us002573.html
US002475,United States of America,Adafruit LoRa Radio Bonnet with OLED - RFM95W @ 915MHz,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,10,0,8,https://certification.oshwa.org/us002475.html
US002504,United States of America,Adafruit LSM6DSOX + LIS3MDL FeatherWing - Precision 9-DoF IMU,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,2,1,10,https://certification.oshwa.org/us002504.html
US000730,United States of America,"Adafruit MagTag - 2.9"" Grayscale E-Ink WiFi Display","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-11-30T00:00-05:00,9,2,12,https://certification.oshwa.org/us000730.html
US002068,United States of America,Adafruit MCP23017 I2C GPIO Expander Breakout,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,6,3,10,https://certification.oshwa.org/us002068.html
US002591,United States of America,Adafruit MEMENTO Camera LED Ring Front Plate,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-12-21T00:00-05:00,8,2,9,https://certification.oshwa.org/us002591.html
US002527,United States of America,Adafruit Metro ESP32-S3,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-18T00:00-04:00,9,2,10,https://certification.oshwa.org/us002527.html
US002494,United States of America,Adafruit Metro M7 with AirLift - Featuring NXP iMX RT1011,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,1,10,https://certification.oshwa.org/us002494.html
US002534,United States of America,Adafruit Metro M7 with microSD,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-19T00:00-04:00,4,1,9,https://certification.oshwa.org/us002534.html
US000471,United States of America,Adafruit Metro Mini 328 - Arduino-Compatible - 5V 16MHz,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,44,12,15,https://certification.oshwa.org/us000471.html
US002123,United States of America,Adafruit Metro Mini 328 V2,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-08-25T00:00-04:00,44,12,15,https://certification.oshwa.org/us002123.html
US002509,United States of America,Adafruit Micro Lipo - USB LiIon/LiPoly charger,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/us002509.html
US002512,United States of America,Adafruit Micro-Lipo Charger for LiPo/LiIon Batt w/MicroUSB Jack,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/us002512.html
US002525,United States of America,Adafruit Micro-Lipo Charger for LiPoly Batt with USB Type C Jack,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/us002525.html
US001083,United States of America,Adafruit MIDI FeatherWing Kit,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-03-02T00:00-05:00,4,0,11,https://certification.oshwa.org/us001083.html
US002513,United States of America,Adafruit Mini Lipo w/Mini-B USB Jack - USB LiIon/LiPoly charger,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/us002513.html
US000671,United States of America,Adafruit MiniBoost 5V @ 1A - TPS61023,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-09-12T00:00-04:00,15,3,11,https://certification.oshwa.org/us000671.html
US000526,United States of America,Adafruit Mono 2.5W Class D Audio Amplifier - PAM8302,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-05T00:00-04:00,19,6,11,https://certification.oshwa.org/us000526.html
US001069,United States of America,Adafruit MPM3610 5V Buck Converter Breakout - 21V In 5V Out at 1.2A,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2021-03-01T00:00-05:00,10,5,0,https://certification.oshwa.org/us001069.html
US002083,United States of America,Adafruit MSA311 Triple Axis Accelerometer - STEMMA QT / Qwiic,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2022-02-07T00:00-05:00,2,0,10,https://certification.oshwa.org/us002083.html
US002469,United States of America,Adafruit Perma-Proto HAT for Pi Mini Kit - With EEPROM,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,31,9,11,https://certification.oshwa.org/us002469.html
US002481,United States of America,"Adafruit PiTFT 2.2"" HAT Mini Kit - 320x240 2.2"" TFT - No Touch","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,8,2,6,https://certification.oshwa.org/us002481.html
US002518,United States of America,"Adafruit PiTFT 2.4"" HAT Mini Kit - 320x240 TFT Touchscreen","Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,0,5,https://certification.oshwa.org/us002518.html
US002473,United States of America,Adafruit PiUART - USB Console and Power Add-on for Raspberry Pi,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,5,1,9,https://certification.oshwa.org/us002473.html
US002485,United States of America,Adafruit Pro Trinket - 3V 12MHz,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,17,8,12,https://certification.oshwa.org/us002485.html
US000336,United States of America,Adafruit Proto Cape Kit for Beagle Bone & Beagle Bone Black,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,,11,12,5,https://certification.oshwa.org/us000336.html
US000579,United States of America,Adafruit Push-button Power Switch Breakout,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,12,4,5,https://certification.oshwa.org/us000579.html
